"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2021","2,915.6","2,923.1","2,933.2","2,882.3","1.36M","-0.36%"
"Nov 22, 2021","2,926.0","2,986.6","2,996.6","2,922.9","1.52M","-1.76%"
"Nov 19, 2021","2,978.5","2,999.5","3,019.3","2,978.0","1.68M","-0.61%"
"Nov 18, 2021","2,996.8","2,964.8","3,011.6","2,957.7","1.78M","1.21%"
"Nov 17, 2021","2,960.9","2,960.6","2,971.2","2,944.8","973.82K","0.12%"
"Nov 16, 2021","2,957.5","2,963.0","2,975.3","2,946.3","922.89K","-0.39%"
"Nov 15, 2021","2,969.0","2,978.0","2,991.0","2,951.5","1.18M","-0.15%"
"Nov 12, 2021","2,973.6","2,932.3","2,977.0","2,908.2","1.12M","2.00%"
"Nov 11, 2021","2,915.3","2,929.8","2,950.7","2,912.0","812.42K","-0.09%"
"Nov 10, 2021","2,917.9","2,950.0","2,961.4","2,890.8","1.48M","-2.03%"
"Nov 09, 2021","2,978.4","2,984.7","2,996.7","2,944.9","972.09K","-0.08%"
"Nov 08, 2021","2,980.6","2,996.5","3,012.3","2,968.6","1.15M","0.12%"
"Nov 05, 2021","2,977.0","2,983.4","3,006.6","2,963.9","1.92M","0.39%"
"Nov 04, 2021","2,965.4","2,942.5","2,994.7","2,926.2","1.90M","1.14%"
"Nov 03, 2021","2,932.0","2,918.0","2,933.4","2,891.8","1.36M","0.80%"
"Nov 02, 2021","2,908.6","2,891.6","2,932.2","2,886.7","1.60M","1.35%"
"Nov 01, 2021","2,869.9","2,960.9","2,960.9","2,864.5","2.31M","-3.07%"
"Oct 29, 2021","2,960.9","2,901.6","2,964.8","2,893.0","2.17M","1.51%"
"Oct 28, 2021","2,917.0","2,942.7","2,943.2","2,892.5","1.78M","-0.25%"
"Oct 27, 2021","2,924.4","2,788.1","2,973.0","2,788.1","4.22M","4.96%"
"Oct 26, 2021","2,786.2","2,785.3","2,801.7","2,766.1","2.29M","1.35%"
"Oct 25, 2021","2,748.9","2,751.0","2,760.0","2,708.5","1.70M","-0.09%"
"Oct 22, 2021","2,751.3","2,783.0","2,811.7","2,721.1","2.53M","-3.04%"
"Oct 21, 2021","2,837.7","2,835.4","2,843.1","2,810.0","1.19M","0.08%"
"Oct 20, 2021","2,835.4","2,866.8","2,870.9","2,827.5","1.14M","-1.02%"
"Oct 19, 2021","2,864.7","2,867.8","2,873.3","2,852.0","1.01M","0.32%"
"Oct 18, 2021","2,855.6","2,821.5","2,855.9","2,821.4","983.74K","1.00%"
"Oct 15, 2021","2,827.4","2,832.3","2,834.4","2,815.1","1.51M","0.15%"
"Oct 14, 2021","2,823.0","2,789.5","2,826.7","2,776.5","1.59M","2.59%"
"Oct 13, 2021","2,751.6","2,748.1","2,760.0","2,730.4","981.54K","0.83%"
"Oct 12, 2021","2,729.0","2,789.6","2,790.1","2,715.2","1.82M","-1.77%"
"Oct 11, 2021","2,778.3","2,785.8","2,814.2","2,777.2","890.47K","-0.62%"
"Oct 08, 2021","2,795.7","2,791.5","2,806.6","2,784.4","1.33M","0.40%"
"Oct 07, 2021","2,784.5","2,777.8","2,800.8","2,773.0","1.25M","1.21%"
"Oct 06, 2021","2,751.3","2,695.0","2,755.0","2,691.0","1.20M","1.13%"
"Oct 05, 2021","2,720.5","2,680.8","2,744.5","2,680.8","1.47M","1.77%"
