"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2021","15,775.1","15,809.5","15,895.9","15,601.5","1.07B","-0.50%"
"Nov 22, 2021","15,854.8","16,120.9","16,212.2","15,851.0","1.13B","-1.26%"
"Nov 19, 2021","16,057.4","16,042.2","16,121.1","16,017.2","1.02B","0.40%"
"Nov 18, 2021","15,993.7","15,973.4","16,010.9","15,848.8","1.08B","0.45%"
"Nov 17, 2021","15,921.6","15,973.6","15,998.6","15,909.4","966.81M","-0.33%"
"Nov 16, 2021","15,973.9","15,840.3","15,989.6","15,825.0","1.01B","0.76%"
"Nov 15, 2021","15,853.8","15,894.8","15,918.5","15,778.3","952.14M","-0.04%"
"Nov 12, 2021","15,861.0","15,752.6","15,874.6","15,705.4","988.93M","1.00%"
"Nov 11, 2021","15,704.3","15,752.1","15,768.0","15,695.8","867.11M","0.52%"
"Nov 10, 2021","15,622.7","15,753.8","15,867.2","15,543.7","989.63M","-1.66%"
"Nov 09, 2021","15,886.5","16,024.1","16,035.2","15,836.7","1.03B","-0.60%"
"Nov 08, 2021","15,982.4","15,995.7","16,038.2","15,961.8","1.06B","0.07%"
"Nov 05, 2021","15,971.6","16,003.6","16,053.4","15,900.8","1.06B","0.20%"
"Nov 04, 2021","15,940.3","15,849.7","15,966.1","15,827.7","1.02B","0.81%"
"Nov 03, 2021","15,811.6","15,658.5","15,821.6","15,616.4","1.00B","1.04%"
"Nov 02, 2021","15,649.6","15,584.0","15,656.6","15,569.3","997.88M","0.34%"
"Nov 01, 2021","15,595.9","15,541.3","15,598.9","15,470.8","1.00B","0.63%"
"Oct 29, 2021","15,498.4","15,323.3","15,504.1","15,323.3","1.06B","0.33%"
"Oct 28, 2021","15,448.1","15,304.7","15,452.3","15,290.3","1.06B","1.39%"
"Oct 27, 2021","15,235.8","15,276.0","15,364.5","15,235.8","1.09B","0.00%"
"Oct 26, 2021","15,235.7","15,317.5","15,384.0","15,198.2","1.22B","0.06%"
"Oct 25, 2021","15,226.7","15,142.9","15,259.6","15,070.8","1.09B","0.90%"
"Oct 22, 2021","15,090.2","15,158.1","15,193.0","15,021.0","1.10B","-0.82%"
"Oct 21, 2021","15,215.7","15,104.8","15,222.3","15,094.1","891.24M","0.62%"
"Oct 20, 2021","15,121.7","15,160.0","15,178.4","15,071.2","743.43M","-0.05%"
"Oct 19, 2021","15,129.1","15,073.1","15,137.9","15,049.7","788.58M","0.71%"
"Oct 18, 2021","15,021.8","14,839.7","15,026.7","14,833.3","798.37M","0.84%"
"Oct 15, 2021","14,897.3","14,891.2","14,905.0","14,848.0","924.17M","0.50%"
"Oct 14, 2021","14,823.4","14,717.5","14,827.6","14,699.5","815.46M","1.73%"
